timestamp,q_edad,q_genero,q_donde_compu,q_que_haces_compu,q_donde_aprendiste_compu,q_que_celu_usas,q_que_haces_celu,q_yt,q_acceso_fotos,q_mandar_fotos,q_borrar_fotos,q_mensaje_sin_wifi,q_gratuidad,q_escuela
5/10/2021 3:13:43,8,m,a_donde_compu_casa,a_que_haces_compu_juegos,a_donde_aprendiste_compu_casa,a_que_celu_usas_propio,"a_que_haces_celu_videos, a_que_haces_celu_juegos",a_yt_nube,a_acceso_fotos_yoyotros,a_mandar_fotos_nose,a_borrar_fotos_enelchat,a_mensaje_sin_wifi_satelite,a_gratuidad_paraquetodoslasusen,a_escuela_n83_4to
5/10/2021 15:05:40,10,m,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_videos, a_que_haces_compu_videollamada",a_donde_aprendiste_compu_solo,a_que_celu_usas_prestado,"a_que_haces_celu_chat, a_que_haces_celu_telefono",a_yt_nube,a_acceso_fotos_nose,a_mandar_fotos_enwa,a_borrar_fotos_enelchat,No sé,a_gratuidad_paraquetodoslasusen,a_escuela_n83_5to
5/10/2021 16:28:33,10,f,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_tarea",a_donde_aprendiste_compu_solo,a_que_celu_usas_propio,"a_que_haces_celu_chat, a_que_haces_celu_redes, a_que_haces_celu_telefono, a_que_haces_celu_juegos",a_yt_nube,a_acceso_fotos_yo,a_mandar_fotos_copia,a_borrar_fotos_enelchat,No sé,"a_gratuidad_datos, a_gratuidad_publicidades",a_escuela_n83_5to
5/10/2021 18:41:58,9,m,a_donde_compu_escuela,a_que_haces_compu_nouso,a_donde_aprendiste_compu_solo,a_que_celu_usas_propio,"a_que_haces_celu_chat, a_que_haces_celu_redes, a_que_haces_celu_videos, a_que_haces_celu_telefono, a_que_haces_celu_juegos, a_que_haces_celu_tarea",a_yt_nube,a_acceso_fotos_yo,a_mandar_fotos_enwa,a_borrar_fotos_enelchat,No sé,"a_gratuidad_datos, a_gratuidad_publicidades, a_gratuidad_paraquetodoslasusen",a_escuela_n83_4to
5/11/2021 1:06:19,9,m,a_donde_compu_casa,a_que_haces_compu_juegos,a_donde_aprendiste_compu_solo,a_que_celu_usas_propio,a_que_haces_celu_videos,a_yt_celular,a_acceso_fotos_yoyotros,a_mandar_fotos_copia,a_borrar_fotos_nose,a_mensaje_sin_wifi_directo,a_gratuidad_paraquetodoslasusen,a_escuela_n83_4to
5/11/2021 1:08:26,9,m,a_donde_compu_casa,a_que_haces_compu_juegos,a_donde_aprendiste_compu_solo,a_que_celu_usas_propio,a_que_haces_celu_videos,a_yt_celular,a_acceso_fotos_yoyotros,a_mandar_fotos_laveenmicelu,a_borrar_fotos_enelchat,a_mensaje_sin_wifi_directo,a_gratuidad_paraquetodoslasusen,a_escuela_n83_4to
5/11/2021 1:14:34,9,m,a_donde_compu_casa,a_que_haces_compu_juegos,a_donde_aprendiste_compu_solo,a_que_celu_usas_propio,"a_que_haces_celu_videos, a_que_haces_celu_juegos",a_yt_celular,a_acceso_fotos_yoyotros,a_mandar_fotos_laveenmicelu,a_borrar_fotos_enelchat,a_mensaje_sin_wifi_directo,a_gratuidad_paraquetodoslasusen,a_escuela_n83_4to
5/14/2021 1:45:18,9,m,a_donde_compu_nouso,a_que_haces_compu_nouso,a_donde_aprendiste_compu_solo,a_que_celu_usas_propio,"a_que_haces_celu_chat, a_que_haces_celu_redes, a_que_haces_celu_videos, a_que_haces_celu_telefono, a_que_haces_celu_juegos",a_yt_nose,a_acceso_fotos_yo,a_mandar_fotos_copia,a_borrar_fotos_nopuedo,a_mensaje_sin_wifi_directo,a_gratuidad_publicidades,a_escuela_n83_4to
5/14/2021 14:41:58,11,m,a_donde_compu_casa,a_que_haces_compu_tarea,a_donde_aprendiste_compu_escuela,a_que_celu_usas_propio,"a_que_haces_celu_videos, a_que_haces_celu_telefono",a_yt_1compu,a_acceso_fotos_yoyotros,a_mandar_fotos_laveenmicelu,a_borrar_fotos_enelchat,a_mensaje_sin_wifi_nube,a_gratuidad_yatienenplata,a_escuela_mistral_6to
5/14/2021 14:58:38,9,f,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_videos, a_que_haces_compu_tarea, a_que_haces_compu_videollamada",a_donde_aprendiste_compu_escuela,a_que_celu_usas_propio,"a_que_haces_celu_chat, a_que_haces_celu_redes, a_que_haces_celu_videos, a_que_haces_celu_telefono, a_que_haces_celu_juegos",a_yt_nose,a_acceso_fotos_yo,a_mandar_fotos_enwa,a_borrar_fotos_nopuedo,No sé,a_gratuidad_todoeninternetesgratis,a_escuela_mistral_5to
5/14/2021 14:58:45,10,m,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_videos, a_que_haces_compu_tarea, a_que_haces_compu_videollamada","a_donde_aprendiste_compu_casa, a_donde_aprendiste_compu_escuela",a_que_celu_usas_propio,a_que_haces_celu_juegos,a_yt_celular,a_acceso_fotos_yoyotros,a_mandar_fotos_nose,a_borrar_fotos_nose,No sé,a_gratuidad_paraquetodoslasusen,a_escuela_mistral_5to
5/14/2021 16:15:53,10,m,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_videos, a_que_haces_compu_tarea","a_donde_aprendiste_compu_casa, a_donde_aprendiste_compu_escuela",a_que_celu_usas_propio,"a_que_haces_celu_chat, a_que_haces_celu_redes, a_que_haces_celu_videos, a_que_haces_celu_telefono",a_yt_celular,a_acceso_fotos_yoyotros,a_mandar_fotos_laveenmicelu,a_borrar_fotos_enelchat,a_mensaje_sin_wifi_antena,"a_gratuidad_yatienenplata, a_gratuidad_datos, a_gratuidad_publicidades",a_escuela_mistral_5to
5/15/2021 1:11:26,11,f,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_videos, a_que_haces_compu_tarea, a_que_haces_compu_videollamada","a_donde_aprendiste_compu_casa, a_donde_aprendiste_compu_escuela",a_que_celu_usas_propio,"a_que_haces_celu_chat, a_que_haces_celu_redes, a_que_haces_celu_videos, a_que_haces_celu_juegos",a_yt_celular,a_acceso_fotos_yo,a_mandar_fotos_copia,a_borrar_fotos_nopuedo,No sé,"a_gratuidad_datos, a_gratuidad_publicidades",a_escuela_mistral_6to
5/17/2021 3:40:54,9,f,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_videos, a_que_haces_compu_tarea, a_que_haces_compu_videollamada",a_donde_aprendiste_compu_casa,a_que_celu_usas_nouso,a_que_haces_celu_nouso,a_yt_nube,a_acceso_fotos_yo,a_mandar_fotos_copia,a_borrar_fotos_enelchat,a_mensaje_sin_wifi_nube,a_gratuidad_publicidades,Escuela Gabriela Mistral - 4to grado
5/18/2021 1:20:29,9,f,a_donde_compu_casa,"a_que_haces_compu_juegos, a_que_haces_compu_tarea, a_que_haces_compu_videollamada","a_donde_aprendiste_compu_casa, a_donde_aprendiste_compu_escuela",a_que_celu_usas_prestado,"a_que_haces_celu_chat, a_que_haces_celu_telefono",a_yt_nose,a_acceso_fotos_yoyotros,a_mandar_fotos_copia,a_borrar_fotos_nopuedo,No sé,a_gratuidad_publicidades,a_escuela_n83_4to
5/18/2021 1:29:37,8,m,a_donde_compu_casa,a_que_haces_compu_tarea,a_donde_aprendiste_compu_casa,a_que_celu_usas_prestado,"a_que_haces_celu_videos, a_que_haces_celu_telefono, a_que_haces_celu_juegos",a_yt_nube,a_acceso_fotos_nose,a_mandar_fotos_enwa,a_borrar_fotos_nopuedo,a_mensaje_sin_wifi_satelite,a_gratuidad_publicidades,a_escuela_n83_3ro
